stars,forks,watchers,issues,age_days,commits,popularity_score
50,53,50,4,3563,100,45.2
50,8,50,14,3695,100,35.2
50,5,50,2,3619,100,35.8
50,6,50,4,3413,100,35.800000000000004
50,31,50,3,3408,100,40.900000000000006
50,125,50,0,3293,100,60.0
50,0,50,2,3881,100,34.8
50,17,50,0,3807,100,38.4
50,14,50,1,3799,100,37.699999999999996
50,6,50,4,3808,100,35.800000000000004
50,41,50,2,3785,100,43.0
50,14,50,4,3758,100,37.4
50,11,50,1,3127,100,37.1
50,29,50,1,3257,100,40.699999999999996
50,16,50,0,3227,100,38.2
50,20,50,2,3170,100,38.8
50,19,50,9,3151,100,37.9
50,8,50,7,3150,100,35.9
50,3,50,1,3248,100,35.5
50,16,50,1,3282,100,38.1
50,13,50,4,3677,100,37.2
50,11,50,0,3840,100,37.2
50,6,50,0,3887,100,36.2
50,6,50,2,4096,100,36.0
50,19,50,15,4050,100,37.3
50,18,50,2,3484,100,38.4
50,5,50,0,3459,100,36.0
50,13,50,0,3471,100,37.6
50,0,50,0,3491,100,35.0
50,29,50,9,3901,100,39.9
50,7,50,0,4143,100,36.4
50,12,50,6,3544,100,36.8
50,31,50,1,3551,100,41.1
50,23,50,2,3438,100,39.4
50,63,50,20,4768,100,45.6
50,11,50,0,4791,100,37.2
50,18,50,1,4787,100,38.5
50,16,50,0,4590,100,38.2
50,27,50,27,4437,100,37.699999999999996
50,18,50,1,5585,100,38.5
50,26,50,0,5648,100,40.2
50,17,50,2,5507,100,38.199999999999996
50,20,50,2,5040,100,38.8
50,16,50,0,5039,100,38.2
50,14,50,0,4941,100,37.8
50,3,50,0,5063,100,35.6
50,53,50,0,4709,100,45.6
50,28,50,3,4705,100,40.300000000000004
50,9,50,1,4695,100,36.699999999999996
50,5,50,0,4750,100,36.0
50,32,50,0,4719,100,41.4
50,46,50,14,4667,100,42.800000000000004
50,16,50,0,4335,100,38.2
50,7,50,9,4348,100,35.5
50,9,50,6,4380,100,36.199999999999996
50,2,50,0,5741,100,35.4
50,12,50,0,5524,100,37.4
50,2,50,0,5288,100,35.4
50,11,50,1,5219,100,37.1
50,9,50,0,5214,100,36.8
50,2,50,2,5137,100,35.199999999999996
50,5,50,0,4292,100,36.0
50,14,50,2,4421,100,37.599999999999994
50,26,50,13,4419,100,38.900000000000006
50,13,50,6,3012,100,37.0
50,9,50,1,2991,100,36.699999999999996
50,9,50,1,3079,100,36.699999999999996
50,22,50,0,2990,100,39.4
50,52,50,20,2976,100,43.4
50,1,50,0,3106,100,35.2
50,14,50,1,3111,100,37.699999999999996
50,13,50,3,3108,100,37.300000000000004
50,9,50,0,3017,100,36.8
50,6,50,13,3002,100,34.900000000000006
50,14,50,0,2750,100,37.8
50,9,50,2,2564,100,36.599999999999994
50,3,50,7,2682,100,34.9
50,10,50,1,2694,100,36.9
50,7,50,0,2555,100,36.4
50,29,50,0,2610,100,40.8
50,17,50,1,2608,100,38.3
50,4,50,0,2622,100,35.8
50,8,50,28,2443,100,33.800000000000004
50,0,50,15,2357,100,33.5
50,44,50,0,3488,100,43.8
50,10,50,4,2308,100,36.6
50,12,50,8,2898,100,36.6
50,35,50,3,2869,100,41.7
50,25,50,0,2855,100,40.0
50,15,50,0,2855,100,38.0
50,28,50,3,2938,100,40.300000000000004
50,64,50,40,2942,100,43.8
50,12,50,1,2936,100,37.3
50,4,50,8,2847,100,35.0
50,8,50,5,2397,100,36.1
50,12,50,1,2407,100,37.3
50,17,50,0,4159,100,38.4
50,8,50,6,1747,100,36.0
50,12,50,8,2125,100,36.6
50,35,50,14,2144,100,40.6
50,5,50,4,2144,100,35.6
50,1,50,16,1647,100,33.6
50,3,50,0,684,100,35.6
50,15,50,31,2836,100,34.9
50,7,50,2,1597,100,36.199999999999996
50,14,50,0,1990,100,37.8
50,10,50,2,2025,100,36.8
50,20,50,2,1948,100,38.8
50,15,50,3,1979,100,37.7
50,23,50,6,2223,100,39.0
50,9,50,0,2183,100,36.8
50,12,50,9,2264,100,36.5
50,27,50,0,2037,100,40.4
50,6,50,1,2229,100,36.1
50,11,50,2,3218,100,37.0
50,9,50,0,876,100,36.8
50,22,50,0,1999,100,39.4
50,20,50,4,2214,100,38.6
50,15,50,7,2943,100,37.3
50,5,50,4,2693,100,35.6
50,11,50,2,2125,100,37.0
50,4,50,0,346,100,35.8
50,24,50,16,4266,100,38.199999999999996
50,11,50,15,3021,100,35.7
50,7,50,0,1882,100,36.4
50,27,50,3,1845,100,40.1
50,5,50,2,2293,100,35.8
50,2,50,1,2150,100,35.3
50,25,50,0,2995,100,40.0
50,11,50,3,3474,100,36.900000000000006
50,3,50,0,2304,100,35.6
50,7,50,0,2679,100,36.4
50,7,50,3,2182,100,36.1
50,6,50,2,1343,100,36.0
50,7,50,0,248,100,36.4
50,17,50,2,312,100,38.199999999999996
50,4,50,8,1117,100,35.0
50,8,50,0,1122,100,36.6
50,3,50,0,1292,100,35.6
50,3,50,1,1266,100,35.5
50,17,50,0,1235,100,38.4
50,8,50,0,1072,100,36.6
50,0,50,0,962,100,35.0
50,10,50,5,1713,100,36.5
50,9,50,0,3877,100,36.8
50,2,50,2,1364,100,35.199999999999996
50,15,50,2,4385,100,37.8
50,6,50,5,2343,100,35.7
50,26,50,3,4979,100,39.900000000000006
50,6,50,4,1964,100,35.800000000000004
50,17,50,0,1060,100,38.4
50,1,50,0,5286,100,35.2
50,2,50,0,421,100,35.4
50,44,50,0,1049,100,43.8
50,21,50,2,4690,100,39.0
